"org_id","abbrev","name","postal_code","street","city"
1,NTUA,National Technical University of Athens,"20049","572 Cherokee Trail",Kinalansan
2,KYPPCH,St. Joseph University Beirut,"68452","4 Union Alley",Arteni
3,SANCEQ,Universidade Regional do Cariri,"90566","1333 Dahle Point",Sanjiang
4,UKDPDC,Kobe University of Mercantile Marine,"28478","16406 Delladonna Court",Jagong
5,ITKSCX,Western University,"61331","92 Bayside Hill",Sigeng
6,NWSQXX,Athlone Institute of Technology,"95261","1 Hollow Ridge Center",Wan’an
7,LENLBC,Central South University,"42523","25 Morning Road",Daojiang
8,HCWGYW,Osaka Gakuin University,"87079","9 La Follette Plaza",Tangga
9,XREFIG,Hampden-Sydney College,"44198","7 Old Shore Park",Bykivka
10,UIEFTY,Rockford College,"76745","622 Aberg Court",Budta
11,RUGNBE,Kyushu University,"73145","2061 Pawling Hill",Yongchuan
12,CDJHCI,Hogeschool voor Wetenschap & Kunst,"86630","21479 Rutledge Alley",Boulaouane
13,JCUNBX,Sistan & Balouchestan University,"93334","77584 Golf View Crossing",Labuhanjambu
14,MXVHJL,Tokuyama University,"70468","32618 Heffernan Point",Guhuai
15,NICGNT,Southern New Hampshire University,"59444","7 Anniversary Alley",Al Khafjī
16,DFNGLP,Centro Universitário Monte Serrat,"83738","98604 Loftsgordon Place",Jerusalem
17,UIHCKM,Yelets State University,"55334","990 Haas Junction",São Félix do Xingu
18,DIFIUV,Moscow State University of Geodesy and Cartography,"86419","016 Mcguire Court",Vila Velha
19,UKMZUJ,Wells College,"6097","1569 Shasta Park",Panguna
20,CKZKGT,College of Education Oju,"61090","9126 Village Green Alley",El Paso
21,FBDIHZ,Reynolds and Sons,"23174","8771 Steensland Road",Petrijevci
22,PCQROI,Prohaska-Dicki,"70078","7 Kingsford Way",Mariinsk
23,BDNSIO,Watsica Inc,"62266","978 Rigney Lane",Přimda
24,DTMHCJ,Satterfield LLC,"19812","80 Meadow Valley Avenue",Chwałowice
25,LBATLX,Ortiz-Jones,"4376","88853 Mccormick Court",Hoima
26,ZFYHBY,"Schaden, Weissnat and Rice","69185","66122 Derek Center",Nishinoomote
27,SMEJCH,"Bins, Witting and Lang","12366","56446 Amoth Lane",Batubantar
28,FETJNZ,Luettgen-O'Conner,"4491","9616 Badeau Park",Zhuangke
29,WFDOWU,Greenfelder-Herman,"75208","22430 Pepper Wood Avenue",Kefar Yona
30,PKRKXG,Davis-Wunsch,"61428","9534 Bartelt Road",Tianxin
31,LPUWEP,"Graham, Jakubowski and Dickens","58167","0819 Coleman Point",Monte Patria
32,PKVPZG,Smith-Leffler,"6726","7680 Havey Alley",Shixi
33,RRSWGM,Wyman LLC,"11665","26 Rutledge Circle",Xiangcheng
34,LEYTPH,Hickle Inc,"36703","9272 Shopko Avenue",Yanglin
35,NWLICC,"Kovacek, Kuvalis and Hagenes","45836","56 Westridge Place",Beicheng
36,ONWSID,"Douglas, Hyatt and Rath","39147","07529 Eliot Way",Gualán
37,SEOGUV,"Nitzsche, Champlin and Zboncak","74605","551 Sycamore Drive",Geneng
38,IHAXOO,Hackett LLC,"92825","89787 Hoffman Lane",Dŭstí
39,AOWHND,"Kunde, Koch and Schultz","82498","72756 Oakridge Pass",Bous
40,LVJSLT,Hills-Moore,"17506","5 Mcguire Alley",Stavanger
41,LRLZKT,"Leuschke, Reichert and Fay","45752","4828 John Wall Avenue",Xiahan
42,AWXPDT,Abernathy-Rohan,"26797","2239 Hovde Junction",Taibai
43,SDBCHD,Mertz-Runolfsdottir,"3555","57833 Mesta Hill",Gaosheng
44,NMQBDD,"Rau, Williamson and Dooley","56774","7370 Fulton Terrace",Rozhdestveno
45,YJEGQC,Haley LLC,"68395","8118 Jenifer Place",Szczytno
46,TOLYEA,Schaefer and Sons,"63037","61 Mccormick Plaza",Cincinnati
47,FYYXVH,Zieme LLC,"67067","67602 Oakridge Center",Boa Vista
48,EJPPDE,"Bins, Roberts and Feest","96113","35 Nevada Park",La Colorada
49,TFMULL,Moore LLC,"33807","141 Manley Junction",Kamigyō-ku
50,WEULQZ,Crona-Sporer,"18656","2 Packers Street",Anfusi
51,YPTFBN,"Bednar, Prosacco and Brekke","77153","509 Little Fleur Park",Kota Kinabalu
52,IRJBWV,Graham Inc,"79196","67 Scoville Alley",Lingdi
53,PGFRVX,Bode Inc,"56355","1 Mcguire Pass",Pailou
54,XALZFZ,Collier-Flatley,"30080","44475 Glacier Hill Lane",Tangkilsari
55,LIJOEL,Schaefer-Corwin,"81088","97373 Di Loreto Pass",Hujigou
56,OJVAGP,"Hagenes, Zemlak and Hahn","15024","1 Amoth Drive",Radojevo
57,NEOUKU,Fisher and Sons,"15536","824 Loeprich Junction",Gonzalo Pizarro
58,FSIIJP,"Stanton, Satterfield and Steuber","58663","5214 Clarendon Drive",Bayt Maqdūm
59,SCJKLG,Stracke Inc,"67418","1175 Bonner Center",Valencia
60,LGJNQX,Emard Inc,"41671","1 Barnett Avenue",Volksrust
61,SIKCHL,Anderson and Sons,"49364","94393 Crescent Oaks Drive",Guimarães
62,KAAMNO,McGlynn LLC,"44339","11 Glendale Circle",Balibago
63,QKFMTQ,"Denesik, Stracke and Ullrich","57761","2 Cody Drive",Baie-Comeau
64,BSWAAX,"Hills, Leuschke and Macejkovic","91997","913 Lakewood Road",Göteborg
65,BTIRRV,Carroll LLC,"88641","166 Warrior Park",Yangjia
66,PQIMYB,Wiegand-Gaylord,"20634","5608 Dryden Terrace",Kapakabisa
67,FFOBZB,Boyer-Emard,"19068","103 Arapahoe Way",Lavrica
68,JFHPOM,Gaylord-Huel,"64719","82219 Eagle Crest Road",Waihi
69,QRYSXM,Gerhold-Smitham,"16617","911 Welch Terrace",Baishan
70,QMULOI,Reilly Group,"18860","4 Butternut Pass",Maralik
71,KQQERJ,Steuber LLC,"8787","7321 Schiller Place",Digdig
72,MJQEDJ,"Marks, Schamberger and Bechtelar","59746","545 Mifflin Trail",Trnovska Vas
73,NZOIBN,O'Hara LLC,"71928","217 Ludington Park",Jianshan
74,YUQWUV,"Marquardt, Lynch and Marvin","73602","7 Gulseth Plaza",Nichinan
75,TFLWTD,"Daniel, Feest and Harber","52307","342 Northland Way",Kasui
76,WRFSLY,Hyatt-Friesen,"16989","155 Toban Junction",Shentong
77,IYKLXR,Schmidt and Sons,"51181","4745 Eagle Crest Junction",Caála
78,QOXYQJ,Bins-Tremblay,"53133","06152 Gateway Pass",Thị Trấn Phú Mỹ
79,NQXVGJ,Ritchie and Sons,"75645","72 Merry Plaza",Vårby
80,YNMPVC,Hahn-Sawayn,"73437","988 Welch Lane",Sukaraja
81,ZXYAVR,"Breitenberg, Sanford and Will","90959","43 Amoth Crossing",Veldhoven
82,IBGWZF,"Braun, Sawayn and Hoppe","38758","09222 Linden Parkway",Tyrnyauz
83,APZEKU,Mosciski and Sons,"90380","540 Oxford Terrace",Comandante Fontana
84,VSWAQX,Graham Group,"96496","4620 Arizona Lane",Randudongkal
85,JHFQTJ,Spinka and Sons,"40840","07 Rusk Street",Sanguinheira
86,JHGAYP,Schultz LLC,"45026","98754 Schiller Street",Sampir
87,VIGENC,"Collins, Rice and Gutmann","39876","08561 Springview Plaza",Qvareli
88,IJCEVT,Bode Inc,"71995","20 Forest Road",Habry
89,RXLJVD,McClure and Sons,"64924","44 Reinke Hill",Sanshan
90,RDQUZN,Jacobson LLC,"67911","2271 Anniversary Center",Zhemtala
